name;nationality;position;overall;age;real_team;device
Pier Graziano Gori;Italy;GK;62;40;Benevento;2
Michael Dawson;England;CB;70;36;Nottingham Forest;2
Pepe;Portugal;CB;82;37;FC Porto;2
Alexander Walke;Germany;GK;72;37;FC Red Bull Salzburg;2
Michael Rensing;Germany;GK;70;36;Fortuna Düsseldorf;2
Ronny König;Germany;ST;64;37;FSV Zwickau;2
Steven Whittaker;Scotland;RB|CM;63;36;Hibernian;2
Philipp Heerwagen;Germany;GK;63;37;SV Sandhausen;2
Arouna Koné;Ivory Coast;ST;72;36;Sivasspor;2
Michael Agazzi;Italy;GK;67;36;Cremona;2
Hugo Campagnaro;Argentina;CB;69;40;Pescara;2
Ali Turan;Turkey;CB;71;36;Konyaspor;2
Burak Yilmaz;Turkey;ST;79;35;Besiktas JK;2
Özgür Çek;Turkey;LB|LM;70;29;Denizlispor;2
Selçuk Inan;Turkey;CDM|CM;72;35;Galatasaray SK;2
Mehmet Topal;Turkey;CB|CDM;74;34;Medipol Basaksehir FK;2
Ersan Gülüm;Turkey;CB;65;33;Antalyaspor;2
Stephan Andersen;Denmark;GK;65;38;FC København;2
Hasan Ali Kaldirim;Turkey;LB;74;30;Fenerbahçe SK;2
Umut Bulut;Turkey;ST|LM;69;37;Yeni Malatyaspor;2
Abdullah Durak;Turkey;CDM;66;33;Çaykur Rizespor;2
Ufuk Ceylan;Turkey;GK;66;34;Yeni Malatyaspor;2
Paul McShane;Republic of Ireland;CB;66;34;Rochdale;2
Jesper Hansen;Denmark;GK;75;35;FC Midtjylland;2
Emil Hallfre?sson;Iceland;CDM|CM;71;36;Free Agents;2
Atiba Hutchinson;Canada;CDM|CM;76;37;Besiktas JK;2
Jimmy Briand;France;ST;75;34;FC Girondins de Bordeaux;2
Scott Brown;Scotland;CDM;75;35;Celtic;2
Kirk Broadfoot;Scotland;CB;65;35;Kilmarnock;2
Anders Lindegaard;Denmark;GK;67;36;Helsingborgs IF;2
Michael Liendl;Austria;CM|CAM;74;34;Wolfsberger AC;2
Gomes;Brazil;GK;75;39;Watford;2
Fernandinho;Brazil;CB|CDM;85;35;Manchester City;2
Gabriel Tama?;Romania;RB|CB;71;36;Asocia?ia Fotbal Club Astra Giurgiu;2
