name;nationality;position;overall;age;real_team;device
Nino;Spain;ST|CAM|CF;70;40;Elche CF;Playstation
Marco Wölfli;Switzerland;GK;66;37;BSC Young Boys;Playstation
Diego Benaglio;Switzerland;GK;74;36;AS Monaco Football Club SA;Playstation
Rubén Castro;Spain;ST;72;39;UD Las Palmas;Playstation
Rod Fanni;France;CB;72;38;Impact Montréal;Playstation
David Martin;England;GK;66;34;West Ham United;Playstation
Ian Henderson;England;ST;67;35;Rochdale;Playstation
Andy Lonergan;England;GK;65;36;Liverpool;Playstation
Christoffer Källqvist;Sweden;GK;63;36;BK Häcken;Playstation
Xavier Pinoteau;France;GK;61;37;FC Chambly Oise;Playstation
Pier Graziano Gori;Italy;GK;62;40;Benevento;Playstation
Michael Dawson;England;CB;70;36;Nottingham Forest;Playstation
Pepe;Portugal;CB;82;37;FC Porto;Playstation
Alexander Walke;Germany;GK;72;37;FC Red Bull Salzburg;Playstation
Michael Rensing;Germany;GK;70;36;Fortuna Düsseldorf;Playstation
Ronny König;Germany;ST;64;37;FSV Zwickau;Playstation
Steven Whittaker;Scotland;RB|CM;63;36;Hibernian;Playstation
Philipp Heerwagen;Germany;GK;63;37;SV Sandhausen;Playstation
Arouna Koné;Ivory Coast;ST;72;36;Sivasspor;Playstation
Michael Agazzi;Italy;GK;67;36;Cremona;Playstation
Hugo Campagnaro;Argentina;CB;69;40;Pescara;Playstation
Ali Turan;Turkey;CB;71;36;Konyaspor;Playstation
Burak Yilmaz;Turkey;ST;79;35;Besiktas JK;Playstation
Özgür Çek;Turkey;LB|LM;70;29;Denizlispor;Playstation
Selçuk Inan;Turkey;CDM|CM;72;35;Galatasaray SK;Playstation
Mehmet Topal;Turkey;CB|CDM;74;34;Medipol Basaksehir FK;Playstation
Ersan Gülüm;Turkey;CB;65;33;Antalyaspor;Playstation
Stephan Andersen;Denmark;GK;65;38;FC København;Playstation
Hasan Ali Kaldirim;Turkey;LB;74;30;Fenerbahçe SK;Playstation
Umut Bulut;Turkey;ST|LM;69;37;Yeni Malatyaspor;Playstation
Abdullah Durak;Turkey;CDM;66;33;Çaykur Rizespor;Playstation
Ufuk Ceylan;Turkey;GK;66;34;Yeni Malatyaspor;Playstation
Paul McShane;Republic of Ireland;CB;66;34;Rochdale;Playstation
Jesper Hansen;Denmark;GK;75;35;FC Midtjylland;Playstation
Emil Hallfre?sson;Iceland;CDM|CM;71;36;Free Agents;Playstation
Atiba Hutchinson;Canada;CDM|CM;76;37;Besiktas JK;Playstation
Jimmy Briand;France;ST;75;34;FC Girondins de Bordeaux;Playstation
Scott Brown;Scotland;CDM;75;35;Celtic;Playstation
Kirk Broadfoot;Scotland;CB;65;35;Kilmarnock;Playstation
Anders Lindegaard;Denmark;GK;67;36;Helsingborgs IF;Playstation
Michael Liendl;Austria;CM|CAM;74;34;Wolfsberger AC;Playstation
Gomes;Brazil;GK;75;39;Watford;Playstation
Fernandinho;Brazil;CB|CDM;85;35;Manchester City;Playstation
Gabriel Tama?;Romania;RB|CB;71;36;Asocia?ia Fotbal Club Astra Giurgiu;Playstation
Niki Mäenpää;Finland;GK;69;35;Bristol City;Playstation
Laurent Walthert;Switzerland;GK;66;36;Neuchâtel Xamax FCS;Playstation
Alexis;Spain;CB;69;34;Real Racing Club;Playstation
Simon Francis;England;RB|CB;74;35;AFC Bournemouth;Playstation
Wes Morgan;Jamaica;CB;74;36;Leicester City;Playstation
Jung Jo Gook;Korea Republic;ST;68;36;Jeju United FC;Playstation
Lee Dong Gook;Korea Republic;ST;69;41;Jeonbuk Hyundai Motors;Playstation
Kim Young Kwang;Korea Republic;GK;68;37;Seongnam FC;Playstation
Paul Jones;England;GK;61;34;Sheffield Wednesday;Playstation
Luis Jiménez;Chile;CAM|CF;73;36;CD Palestino;Playstation
Daniel Baier;Germany;CDM|CM;77;36;FC Augsburg;Playstation
Christophe Lepoint;Belgium;CB|CM|CAM;68;35;KV Kortrijk;Playstation
Giampaolo Pazzini;Italy;ST;71;35;Hellas Verona;Playstation
Daniele Gastaldello;Italy;CB;68;37;Brescia;Playstation
Alessandro Rosina;Italy;CAM|RW;68;36;Salerno;Playstation
Jürgen Gjasula;lbania;CB|CDM;66;34;1. FC Magdeburg;Playstation
Goran Pandev;North Macedonia;ST|RW;73;37;Genoa;Playstation
Michel Vorm;Netherlands;GK;74;36;Tottenham Hotspur;Playstation
Domenico Maietta;Italy;CB;71;37;Empoli;Playstation
Nicky Hunt;England;RB|CB;57;36;Crewe Alexandra;Playstation
Bruno Alves;Portugal;CB;73;38;Parma;Playstation
Darren Potter;Republic of Ireland;CDM|CM;64;35;Tranmere Rovers;Playstation
Richard Foster;Scotland;RWB|RB|LB|RW;64;34;Ross County FC;Playstation
Angulo;Spain;ST;72;36;Górnik Zabrze;Playstation
James Milner;England;RB|LB|CM;81;34;Liverpool;Playstation
Roman Hubník;Czech Republic;CB;72;36;Viktoria Plzen;Playstation
Chris O'Grady;England;ST;60;34;Bolton Wanderers;Playstation
Billy Jones;England;RB;66;33;Rotherham United;Playstation
Germán Lux;Argentina;GK;73;38;River Plate;Playstation
Maximiliano López;Argentina;ST;71;36;Crotone;Playstation
Dean Lewington;England;LB|LWB|LW;64;36;Milton Keynes Dons;Playstation
Davide Moscardelli;Italy;ST|CF;69;40;Pisa;Playstation
Roberto Vitiello;Italy;RB|CB;65;37;Castellammare di Stabia;Playstation
Antolín Alcaraz;Paraguay;CB;73;37;Club Olimpia;Playstation
Giorgio Chiellini;Italy;CB;88;35;Juventus;Playstation
Willy Caballero;Argentina;GK;75;38;Chelsea;Playstation
Leonardo Ponzio;Argentina;CB|CDM;74;38;River Plate;Playstation
Nani;Portugal;RW|LW;80;33;Orlando City Soccer Club;Playstation
Luis Michel;Mexico;GK;64;41;Club Tijuana;Playstation
